"","x"
"1","Acinetobacter.02"
"2","Actinomyces.01"
"3","Actinomyces.02"
"4","Anaerococcus.01"
"5","Anaerococcus.02"
"6","Atopobium.01"
"7","Bifidobacterium.01"
"8","Bulleidia.01"
"9","C.Betaproteobacteria.01"
"10","C.Betaproteobacteria.02"
"11","Campylobacter.01"
"12","Capnocytophaga.01"
"13","Catonella.01"
"14","Dolosigranulum.01"
"15","Eubacterium.01"
"16","F.Carnobacteriaceae.01"
"17","F.Neisseriaceae.01"
"18","F.Pasteurellaceae.01"
"19","F.Pasteurellaceae.02"
"20","F.Prevotellaceae.01"
"21","Fusobacterium.01"
"22","Fusobacterium.02"
"23","Gemella.01"
"24","Megasphaera.01"
"25","Metascardovia.01"
"26","Mogibacterium.01"
"27","Mycoplasma.01"
"28","Neisseria.01"
"29","O.Actinomycetales.01"
"30","O.Actinomycetales.03"
"31","O.Actinomycetales.04"
"32","O.Bacteroidales.01"
"33","O.Clostridiales.01"
"34","O.Clostridiales.02"
"35","O.Clostridiales.03"
"36","O.Clostridiales.04"
"37","O.Clostridiales.05"
"38","P.Firmicutes.01"
"39","Parvimonas.01"
"40","Parvimonas.02"
"41","Parvimonas.03"
"42","Peptoniphilus.02"
"43","Peptoniphilus.03"
"44","Peptostreptococcus.01"
"45","Porphyromonas.01"
"46","Porphyromonas.02"
"47","Porphyromonas.03"
"48","Prevotella.01"
"49","Prevotella.02"
"50","Prevotella.03"
"51","Prevotella.04"
"52","Prevotella.05"
"53","Prevotella.06"
"54","Prevotella.07"
"55","Prevotella.08"
"56","Prevotella.09"
"57","Prevotella.10"
"58","Selenomonas.01"
"59","Selenomonas.02"
"60","Selenomonas.03"
"61","Solobacterium.01"
"62","Streptococcus.01"
"63","Tannerella.01"
"64","TM7_genus_incertae_sedis.01"
"65","TM7_genus_incertae_sedis.03"
"66","TM7_genus_incertae_sedis.04"
"67","TM7_genus_incertae_sedis.06"
"68","TM7_genus_incertae_sedis.07"
"69","Treponema.01"
"70","Tropheryma.01"
"71","Veillonella.01"
"72","Veillonella.02"
