"Acinetobacter.01","Acinetobacter.02","Actinomyces.01","Actinomyces.02","Alicyclobacillus.01","Anaerococcus.01","Anaerococcus.02","Atopobium.01","Atopobium.02","Bifidobacterium.01","Bulleidia.01","Burkholderia.01","C.Betaproteobacteria.01","C.Betaproteobacteria.02","C.Gammaproteobacteria.01","C.Gammaproteobacteria.02","C.Gammaproteobacteria.03","C.Gammaproteobacteria.04","C.Gammaproteobacteria.05","C.Gammaproteobacteria.06","C.Gammaproteobacteria.07","C.Gammaproteobacteria.08","C.Gammaproteobacteria.09","C.Gammaproteobacteria.10","C.Gammaproteobacteria.11","Campylobacter.01","Capnocytophaga.01","Carnobacterium.01","Catonella.01","Chryseobacterium.01","Corynebacterium.01","Corynebacterium.02","Dolosigranulum.01","Dyella.01","Eubacterium.01","F.Alcaligenaceae.01","F.Burkholderiaceae.01","F.Burkholderiaceae.02","F.Carnobacteriaceae.01","F.Comamonadaceae.01","F.Comamonadaceae.02","F.Enterobacteriaceae.01","F.Erysipelotrichaceae.01","F.Neisseriaceae.01","F.Pasteurellaceae.01","F.Pasteurellaceae.02","F.Prevotellaceae.01","F.Prevotellaceae.02","F.Prevotellaceae.03","F.Pseudomonadaceae.01","F.Pseudomonadaceae.02","F.Rhodocyclaceae.01","F.Xanthomonadaceae.01","Fusobacterium.01","Fusobacterium.02","Gemella.01","Gp2.01","Gp2.02","Lactobacillus.01","Marinobacter.01","Megasphaera.01","Metascardovia.01","Microbacterium.01","Mogibacterium.01","Mycoplasma.01","Neisseria.01","O.Actinomycetales.01","O.Actinomycetales.02","O.Actinomycetales.03","O.Actinomycetales.04","O.Bacteroidales.01","O.Bacteroidales.02","O.Burkholderiales.01","O.Clostridiales.01","O.Clostridiales.02","O.Clostridiales.03","O.Clostridiales.04","O.Clostridiales.05","P.Firmicutes.01","Paracoccus.01","Parvimonas.01","Parvimonas.02","Parvimonas.03","Peptoniphilus.01","Peptoniphilus.02","Peptoniphilus.03","Peptostreptococcus.01","Porphyromonas.01","Porphyromonas.02","Porphyromonas.03","Prevotella.01","Prevotella.02","Prevotella.03","Prevotella.04","Prevotella.05","Prevotella.06","Prevotella.07","Prevotella.08","Prevotella.09","Prevotella.10","Propionibacterium.01","Propionibacterium.02","Pseudomonas.01","Pseudomonas.02","Ralstonia.01","Rhizobium.01","Selenomonas.01","Selenomonas.02","Selenomonas.03","Solobacterium.01","Staphylococcus.01","Streptococcus.01","Sulfuricurvum.01","Tannerella.01","TM7_genus_incertae_sedis.01","TM7_genus_incertae_sedis.02","TM7_genus_incertae_sedis.03","TM7_genus_incertae_sedis.04","TM7_genus_incertae_sedis.05","TM7_genus_incertae_sedis.06","TM7_genus_incertae_sedis.07","TM7_genus_incertae_sedis.08","Treponema.01","Tropheryma.01","Veillonella.01","Veillonella.02"
"Acinetobacter.01",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.620701134204865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518139123916626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter.02",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.536159932613373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.472258776426315,0.481165945529938,0,0,0,0,0,0,0,0,0,0.465702593326569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces.01",0,0,1,0.770339012145996,0,0,0,0.594747245311737,0,0,0,0,0,0,0,-0.652530610561371,-0.616341769695282,-0.486800611019135,0,-0.503731608390808,0,0,0,0,0,0.438970565795898,0.471220821142197,0,0.56420224905014,0,0,0,0.558654367923737,0,0,-0.438859105110168,0,0,0,-0.548432648181915,0,0,0,0,0,0.462581217288971,0,0,0,-0.607737958431244,-0.481764376163483,0,-0.45649716258049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434409141540527,0,0,0,0,0.617152214050293,0.589698493480682,0.586586713790894,0,0,0,0,0,0,0,0,0,0,0,0.462657243013382,0,0.598700940608978,0.638418078422546,0.768144607543945,0.568278431892395,0.548031866550446,0,0.464410841464996,0.497684687376022,0,0.503932297229767,-0.782829761505127,0,0,0,0,0,0.70229035615921,0.536248803138733,0.560076296329498,0,-0.571589946746826,0.470488578081131,0,0,0.571589946746826,0,0.540960431098938,0.585105299949646,0,0.575809597969055,0,0,0.514065980911255,0,0.7540243268013,0
"Actinomyces.02",0,0,0.770339012145996,1,0,0.631908416748047,0.605705678462982,0.72070038318634,0,0,0,0,0,0.482960820198059,0,-0.550183951854706,-0.512864172458649,-0.448174655437469,0,0,0,-0.436342149972916,0,0,0,0.72472620010376,0,0,0.474664568901062,0,-0.513429641723633,0,0.735317826271057,0,0,0,0,0,0,-0.61338609457016,0,0,0,0,0,0,0,0,0,-0.506071746349335,0,0,0,0,0.472511112689972,0,0,0,0,0,0.584490180015564,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706068933010101,0.692418277263641,0.598639845848083,0,0,0,0,0,0,0,0,0,0,0,0,0.56821995973587,0.722959637641907,0.689548015594482,0.636543393135071,0.485157072544098,0.504050433635712,0,0.470342010259628,0.531828165054321,0,0,-0.832533240318298,0,0,0,0,0,0.787673473358154,0.903065860271454,0.741277456283569,0,0,0.427562862634659,0,0,0.693024575710297,0,0.577118635177612,0.770039319992065,0,0.560184597969055,0,0,0,0.492937177419662,0.713357865810394,0
"Alicyclobacillus.01",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.447271853685379,0.558372259140015,0,0,0,0,0.67344868183136,0.42820417881012,0,0,0,0.735597193241119,0,0,0.580152869224548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446706414222717,0,0,-0.540525317192078,0,0,0,0,0,0,0,0,0,0,0,0,-0.466666668653488,0.596998155117035,0,0,0,0,0,0,0,0,0,0,0,0,-0.603954792022705,0,0,0,0,0,0,-0.501129925251007,0,0,0,-0.520339012145996,-0.497599571943283,-0.611252665519714,0,0,0,0,0,0,0.468229323625565,0,0.491377055644989,0,0,0,0,0,0,0,0.525840163230896,-0.499858826398849,0.611110508441925,0,0,0,0,0,0,0,0,0,0,0,-0.476701527833939,0
"Anaerococcus.01",0,0,0,0.631908416748047,0,1,0,0.61604231595993,0.527332484722137,0,0,0,0,0.538994312286377,0,0,0,0,0,0,0,0,0,0,0,0.627470314502716,0,0,0,0,0,0,0.458062291145325,0,0,0,0,0,0,0,0,0,0,0.53274792432785,0,0,0,0,0,0,0,0,0,0,0.569372117519379,0,0,0,0.516205966472626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781767964363098,0.47540408372879,0.454339236021042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.72464919090271,0,0,0,0,0,0,0.522388100624084,0,0,-0.431410640478134,0,0,0,0,0,0.75687974691391,0.638066470623016,0.632900357246399,0,0,0,0,0,0.597941219806671,0,0,0.593585729598999,0,0.601519048213959,0,0.49930664896965,0,0,0,0
"Anaerococcus.02",0,0,0,0.605705678462982,0,0,1,0.487757533788681,0,0,0.535189092159271,0,0,0.672053873538971,0,0,-0.425958782434464,0,0,0,0,0,0,0,0,0.537374258041382,0,0,0.451166868209839,0,0,0,0.707624733448029,0,0,0,0,0,0,-0.469875127077103,0,0,0,0,0,0.520439147949219,0,0,0,0,0,0,-0.452120423316956,0,0.473533689975739,0,0,0,0,0,0.6223224401474,0,0,0,0,0,0,-0.452706336975098,0.587277948856354,0.441361039876938,0,0.425738632678986,0,0,0.588835716247559,0.610318243503571,0.542026877403259,0,0,0,0,0,0,0,0,0.585118532180786,0,0,0,0.465579152107239,0.518589198589325,0.59398627281189,0.426094114780426,0.479666650295258,0.507966756820679,0.435144275426865,0.760854959487915,0.466583877801895,0,0,-0.524755537509918,0,0,0,0,0,0.548190474510193,0.553374767303467,0.667896866798401,0,0,0.477274745702744,0,0,0.696796476840973,0,0.493446558713913,0.682694137096405,0,0.493435353040695,0,0,0,0.590802371501923,0.503790020942688,0
"Atopobium.01",0,0,0.594747245311737,0.72070038318634,0,0.61604231595993,0.487757533788681,1,0,0,0,0,0,0.506873190402985,0,0,0,0,0,0,0,0,0,0,0,0.775201320648193,0.613389551639557,-0.452591061592102,0,0,0,0,0.585398018360138,0,0.455569505691528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484816282987595,0,0,0,0,0,0,0,0,0,0,0,0,0,0.434419274330139,0,0,0,0,0,0.695342898368835,0,0.566338121891022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66233766078949,0,0.477131575345993,0,0.428697943687439,0,0,0.593003213405609,0,0.442126601934433,-0.620553374290466,0,0,0,0,0,0.780667543411255,0.740841031074524,0.654752194881439,0,0,0,0,0,0.718802928924561,0,0.502682864665985,0.639866650104523,0,0.528206765651703,0,0,0,0.49639505147934,0.548277795314789,0
"Atopobium.02",0,0,0,0,0,0.527332484722137,0,0,1,0.527837336063385,0,0,0,0.514710068702698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454223483800888,0,0,0,0,0,0,-0.506163060665131,0,0,0,0,0,0,0,0,0,0.635445177555084,0,0.546056807041168,0,0,0.435734033584595,0,0.584195017814636,-0.462860137224197,0,0,-0.464352339506149,0,0,0,0,0.520197927951813,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502257406711578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.446100264787674,0,0,0.431410580873489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475123465061188,0,0,0.748626291751862,0,0,0,0
"Bifidobacterium.01",0,0,0,0,0,0,0,0,0.527837336063385,1,0,0,0,0.440709263086319,0,0,0,0,0,0,0,0,0,0,0.529622316360474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585592985153198,0,0.445031374692917,0,0,0,0,0.647210657596588,0,0,0,0,0,0,0,0,0.469677954912186,0,0,0,0,0,0,0,0,0,0,0.460844755172729,0,0,0.636828601360321,0.464795023202896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
